ゆっくり霊夢,ゆっくりしていってね！
ゆっくり魔理沙,いきなりだが霊夢、この二つのテトリスを見てくれ。
ゆっくり霊夢,左は……下手だな。すぐ死んだぞ。
ゆっくり魔理沙,右は同じAIだぜ。違うのは学習した時間だけだ。
ゆっくり霊夢,同じ？　まるで別物じゃないか。
ゆっくり魔理沙,今日はこれを、機械学習の専門家じゃない人が作った話だ。
ゆっくり霊夢,専門家じゃない？　じゃあ誰が作ったんだ。
ゆっくり魔理沙,普通の趣味のプログラマーだぜ。コードはAIに出してもらった。
ゆっくり霊夢,AIに書かせたのか。
ゆっくり魔理沙,そうだ。今日一番言いたいのは、そこでな。
ゆっくり魔理沙,AIにコードを出してもらえば、自分が知りたい分野で、独自の機械学習ができる。
ゆっくり霊夢,自分の好きなテーマでいいのか。
ゆっくり魔理沙,いいんだぜ。今回はたまたまゲームだったというだけだ。
ゆっくり魔理沙,実際、作ったのは一つじゃない。
ゆっくり魔理沙,テトリス、落ち物パズル、オセロ、エアホッケー、レース、将棋。
ゆっくり霊夢,六つもあるのか。
ゆっくり魔理沙,一つなら偶然だが、六つ続けば再現性のある話になるだろ。
ゆっくり霊夢,で、機械学習にすると何がそんなに変わるんだ。
ゆっくり魔理沙,いい質問だぜ。この二つを見てくれ。
ゆっくり魔理沙,左は、人間が手で調整したAI。昔からよくあるやり方だ。
ゆっくり魔理沙,右が、機械学習で自分で覚えたAIだぜ。
ゆっくり霊夢,……左のほうが盤面が綺麗だぞ。ちゃんと消してる。
ゆっくり魔理沙,そうだな。消した段数はほとんど同じだ。左が百十九段、右が百十六段。
ゆっくり霊夢,じゃあ互角じゃないか。
ゆっくり魔理沙,ところが勝負させると、右が九十二パーセント勝つ。
ゆっくり霊夢,なんでだ！？
ゆっくり魔理沙,四段まとめて消す「テトリス」の回数を見てくれ。左はゼロ回。右は十五回だぜ。
ゆっくり霊夢,右のあの溝、わざと空けてたのか。
ゆっくり魔理沙,アイミノを待ってるんだ。一段ずつ消すより、溜めて四段消すほうが相手に送れる量が多い。
ゆっくり霊夢,器用なことをするな。誰が教えたんだ。
ゆっくり魔理沙,誰も教えてないぜ。
ゆっくり魔理沙,人間が決めたほうのAIには「高く積むな」という減点が入っている。
ゆっくり霊夢,安全策だな。まあ正しい気もするが。
ゆっくり魔理沙,正しいぜ。事実そいつは一度も死んでいない。
ゆっくり魔理沙,だが「高く積むな」と教えたせいで、テトリスを一生撃てなくなった。
ゆっくり霊夢,教えたことが、そのまま限界になるのか。
ゆっくり魔理沙,機械学習のほうには、点数の付け方を四行書いただけだ。
ゆっくり魔理沙,生き残ったら加点。消したら加点。相手に送ったら加点。死んだら減点。
ゆっくり霊夢,それだけ？
ゆっくり魔理沙,それだけだぜ。「溝を空けてアイミノを待て」なんて一言も書いてない。
ゆっくり霊夢,それを自分で見つけたのか。
ゆっくり魔理沙,そういうことだ。人間が思いつく指示より、うまい打ち方に辿り着いたわけだな。
ゆっくり霊夢,なるほどな。でもこれ、作るのは大変だったんじゃないか。
ゆっくり魔理沙,正直に言うと失敗もしたぜ。学習済みの重みを引き継ごうとして、二回壊した。
ゆっくり霊夢,AIに聞いても一発じゃないんだな。
ゆっくり魔理沙,そこは人間が考えるところだ。だがコードを書く手間は、もう壁じゃない。
ゆっくり魔理沙,知りたい分野があるなら、自分の手で試せる時代になったってことだぜ。
ゆっくり霊夢,ちなみにこの動画の映像は？
ゆっくり魔理沙,これもAIに書かせたツールが、計算で出したものだ。撮影も切り貼りもしてないぜ。
ゆっくり霊夢,徹底してるな。
ゆっくり魔理沙,ゆっくりしていってね！
